@relation R_data_frame

@attribute URL string
@attribute id numeric
@attribute tagName string
@attribute childsNumber numeric
@attribute textLength numeric
@attribute basePlatform string
@attribute targetPlatform string
@attribute baseBrowser string
@attribute targetBrowser string
@attribute baseDPI numeric
@attribute targetDPI numeric
@attribute baseScreenshot string
@attribute targetScreenshot string
@attribute baseX numeric
@attribute targetX numeric
@attribute baseY numeric
@attribute targetY numeric
@attribute baseHeight numeric
@attribute targetHeight numeric
@attribute baseWidth numeric
@attribute targetWidth numeric
@attribute baseParentX numeric
@attribute targetParentX numeric
@attribute baseParentY numeric
@attribute targetParentY numeric
@attribute imageDiff numeric
@attribute chiSquared numeric
@attribute baseDeviceWidth numeric
@attribute targetDeviceWidth numeric
@attribute baseViewportWidth numeric
@attribute targetViewportWidth numeric
@attribute xpath string
@attribute baseXpath string
@attribute targetXpath string
@attribute phash numeric
@attribute Result {0,1}
@attribute crosscheck.base.a numeric
@attribute crosscheck.target.a numeric
@attribute crosscheck.SDR numeric
@attribute crosscheck.disp numeric
@attribute crosscheck.area numeric
@attribute crosscheck.LDTD numeric
@attribute baseLeft numeric
@attribute targetLeft numeric
@attribute baseRight numeric
@attribute targetRight numeric
@attribute baseParentLeft numeric
@attribute targetParentLeft numeric
@attribute baseParentRight numeric
@attribute targetParentRight numeric
@attribute diff.viewport numeric
@attribute size numeric
@attribute diff.left.relation numeric
@attribute diff.right.relation numeric
@attribute diff.parent.left.relation numeric
@attribute diff.parent.right.relation numeric
@attribute diff.left.viewport numeric
@attribute diff.right.viewport numeric
@attribute alignment numeric
@attribute diff.parent.left.viewport numeric
@attribute diff.parent.right.viewport numeric
@attribute parent.alignment numeric
@attribute diff.parent.y numeric
@attribute diff.parent.y.height numeric
@attribute diff.height.height numeric
@attribute diff.width.viewport numeric
@attribute imageDiff.size numeric
@attribute chiSquared.size numeric
@attribute imageDiff.size.viewport numeric
@attribute chiSquared.size.viewport numeric
@attribute pHashDistance.viewport numeric
@attribute h {0,1}

@data
http://wwatana.be/mobile/mobile/201801/12/,13,DIV,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/13.png,results/iphone8plus/13.png,162,187,551,503,1,1,34,39,8,8,551,503,16626,34,1080,1242,360,414,/body[2]/div[1]/div[2]/div[1]/div[1],/body[2]/div[1]/div[2]/div[1]/div[1],/body[2]/div[1]/div[2]/div[1]/div[1],0,0,34,39,0.147059,54.120237,34,1,162,187,164,188,8,8,318,367,54,39,-0.001691,0.001449,0.002899,-0.00314,0.462963,0.444444,0.018519,0,0.907407,0.018519,0.888889,48,0,0.092593,489,1,9.055556,0.018519,0,1
http://wwatana.be/mobile/mobile/201602/16/1.html,9,DIV,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.9,3,results/motog4/9.png,results/iphone8plus/9.png,171,248,15,18,10,10,1,1,-2,-2,-1,-2,660,10,1080,1242,373,414,/body[2]/div[1]/div[6],/body[2]/div[1]/div[6],/body[2]/div[1]/div[6],0,1,10,10,0,77.058419,10,1,171,248,201,165,-2,-2,374,415,41,10,-0.140589,0.140323,0.000531,0.000266,1.878049,0.878049,1,0,1,1,0.02439,0.1,0,0,66,1,1.609756,0.02439,0,0
http://wwatana.be/mobile/mobile/201602/16/1.html,7,A,1,43,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.9,3,null,null,99,132,14,19,14,12,67,112,-2,-2,-1,-2,0,0,1080,1242,373,414,/body[2]/div[1]/a[5],/body[2]/div[1]/a[5],/body[2]/div[1]/a[5],0,1,938,1344,0.432836,33.376639,938,1,99,132,207,170,-2,-2,308,304,41,1344,-0.053425,0.144332,0.000531,0.091438,0.804878,0.902439,-0.097561,0,0.097561,-0.097561,0.02439,0.071429,0.142857,1.097561,0,0,0,0,0,0
http://wwatana.be/mobile/mobile/201602/16/1.html,9,DIV,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,results/motog4/9.png,results/iphonese/9.png,171,248,15,18,10,10,1,1,-2,-2,-1,-2,330,10,1080,640,373,320,/body[2]/div[1]/div[6],/body[2]/div[1]/div[6],/body[2]/div[1]/div[6],0,1,10,10,0,77.058419,10,1,171,248,201,71,-2,-2,374,321,-53,10,-0.316555,0.316999,-0.000888,-0.000444,-1.45283,-2.45283,1,-0,-1,1,-0.018868,0.1,0,-0,33,1,-0.622642,-0.018868,-0,0
http://wwatana.be/mobile/mobile/201602/16/1.html,4,A,1,22,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,null,null,71,104,14,19,14,12,16,18,-2,-2,-1,-2,0,0,1080,640,373,320,/body[2]/div[1]/a[3],/body[2]/div[1]/a[3],/body[2]/div[1]/a[3],0,0,224,216,0.037037,33.376639,216,1,71,104,286,198,-2,-2,359,304,-53,224,-0.134651,0.148006,-0.000888,0.012466,-0.622642,-1.660377,1.037736,-0,-1.037736,1.037736,-0.018868,0.071429,0.142857,-0.037736,0,0,-0,-0,-0,1
http://wwatana.be/mobile/mobile/201801/1/,12,H1,0,36,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,3,3,results/motog4/12.png,results/iphone8plus/12.png,0,0,100,100,106,106,360,414,0,0,50,50,8626467,466998.3,1080,1242,360,414,/body[2]/div[2]/div[1]/h1[1],/body[2]/div[2]/div[1]/h1[1],/body[2]/div[2]/div[1]/h1[1],0.8,0,38160,43884,0.15,0,38160,1,0,0,0,0,0,0,0,0,54,43884,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226.060456,12.237901,4.186305,0.226628,0.014815,1
http://wwatana.be/mobile/mobile/201602/15/1.html,27,H1,0,8,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.9,3,results/motog4/27.png,results/iphone8plus/27.png,69,97,1496,1555,43,38,40,40,69,97,1452,1513,494160,792.5,1080,1242,368,414,/body[2]/div[4]/div[2]/center[3]/ul[1]/li[1]/a[1]/h1[2],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[1]/a[1]/h1[2],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[1]/a[1]/h1[2],0.5,1,1720,1520,0.131579,65.306967,1520,1,69,97,259,277,69,97,259,277,46,1720,-0.0468,0.034722,-0.0468,0.034722,0.608696,0.391304,0.217391,0.608696,0.391304,0.217391,1.326087,1.418605,0.116279,0,287.302326,0.460756,6.245703,0.010016,0.01087,0
http://wwatana.be/mobile/mobile/201602/15/1.html,16,IMG,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.9,3,results/motog4/16.png,results/iphone8plus/16.png,26,28,668,833,100,100,100,100,8,8,693,700,1082762,8715.7,1080,1242,368,414,/body[2]/div[3]/img[2],/body[2]/div[3]/img[2],/body[2]/div[3]/img[2],1,1,10000,10000,0,165.012121,10000,1,26,28,242,286,8,8,260,306,46,10000,0.003019,-0.033213,0.002415,-0.032609,0.043478,0.956522,-0.913043,0,1,-0.913043,0.152174,0.07,0,0,108.2762,0.87157,2.35383,0.018947,0.021739,0
http://wwatana.be/mobile/mobile/201602/15/1.html,15,IMG,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.2 - Safari -- iOS - iPhone 8 Plus',null,null,2.9,3,results/motog4/15.png,results/iphone8plus/15.png,8,8,693,700,450,450,344,398,8,8,693,700,3452192,146910.1,1080,1242,368,414,/body[2]/div[3]/img[1],/body[2]/div[3]/img[1],/body[2]/div[3]/img[1],0.6,1,154800,179100,0.156977,7,154800,1,8,8,16,8,8,8,16,8,46,179100,0.002415,0.024155,0.002415,0.024155,0,0.173913,-0.173913,0,0.173913,-0.173913,0.152174,0.015556,0,1.173913,22.300982,0.949032,0.484804,0.020631,0.013043,0
http://wwatana.be/mobile/mobile/201602/15/1.html,42,DIV,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,results/motog4/42.png,results/iphonese/42.png,290,270,1429,1487,40,40,40,40,290,270,1452,1512,6500,5316.8,1080,640,368,320,/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1]/div[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1]/div[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1]/div[1],0.7,1,1600,1600,0,61.351447,1600,1,290,270,38,10,290,270,38,10,-48,1600,-0.055707,0.072011,-0.055707,0.072011,-0.416667,-0.583333,0.166667,-0.416667,-0.583333,0.166667,-1.25,1.5,0,-0,4.0625,3.323,-0.084635,-0.069229,-0.014583,0
http://wwatana.be/mobile/mobile/201602/15/1.html,41,A,1,82,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,null,null,290,270,1452,1512,22,19,40,40,290,270,1429,1487,0,0,1080,640,368,320,/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6]/a[1],0,1,880,760,0.157895,63.245553,760,1,290,270,38,10,290,270,38,10,-48,880,-0.055707,0.072011,-0.055707,0.072011,-0.416667,-0.583333,0.166667,-0.416667,-0.583333,0.166667,-1.208333,2.636364,0.136364,-0,0,0,-0,-0,-0,0
http://wwatana.be/mobile/mobile/201602/15/1.html,40,LI,2,153,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,null,null,290,270,1429,1487,40,40,40,40,8,8,1429,1487,0,0,1080,640,368,320,/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6],/body[2]/div[4]/div[2]/center[3]/ul[1]/li[6],0,1,1600,1600,0,61.351447,1600,1,290,270,38,10,8,8,320,272,-48,1600,-0.055707,0.072011,-0.003261,0.019565,-0.416667,-0.583333,0.166667,-0,-1,0.166667,-1.208333,1.45,0,-0,0,0,-0,-0,-0,0
http://wwatana.be/mobile/mobile/201602/15/1.html,15,IMG,0,0,'Android null - Chrome -- Android - MotoG4','iOS 11.0 - Safari -- iOS - iPhoneSE',null,null,2.9,2,results/motog4/15.png,results/iphonese/15.png,8,8,693,699,450,450,344,304,8,8,693,699,2340959,122208.4,1080,640,368,320,/body[2]/div[3]/img[1],/body[2]/div[3]/img[1],/body[2]/div[3]/img[1],0.9,1,154800,136800,0.131579,6,136800,1,8,8,16,8,8,8,16,8,-48,154800,-0.003261,0.018478,-0.003261,0.018478,-0,-0.166667,0.166667,-0,-0.166667,0.166667,-0.125,0.013333,0,-0.833333,15.122474,0.78946,-0.315052,-0.016447,-0.01875,0
